Query,Region,Title,Price (USD),Time Left,Buying Options,Condition,Health,Scrap Value,Off-Market Contacts,Seller,Link,Image
Favre-Leuba,EBAY_US,Vintage 31mm Favre-Leuba 62103 Geneve Datic Sea King Wristwatch 102 Swiss Steel,130,Unknown,Buy It Now,Pre-owned - Good,UNKNOWN,N/A,None,thepartspreserve,"=HYPERLINK(""https://www.ebay.com/itm/407165298473?_skw=Favre-Leuba&hash=item5eccf16729:g:~LwAAeSw7RNqi3St"", ""Open eBay"")",https://i.ebayimg.com/images/g/~LwAAeSw7RNqi3St/s-l225.jpg
Favre-Leuba,EBAY_US, RARE Vintage- FAVRE-LEUBA- New Morning Watch- Quartz Men's 34 MM,450,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,robertsobhy,"=HYPERLINK(""https://www.ebay.com/itm/266391518943?_skw=Favre-Leuba&hash=item3e062bfedf:g:iyYAAOSwQfFk7V1W"", ""Open eBay"")",https://i.ebayimg.com/images/g/iyYAAOSwQfFk7V1W/s-l225.jpg
Favre-Leuba,EBAY_US,Vintage Favre-Leuba Duomatic Automatic Watch – Swiss Made – Champagne Dial – Day,179,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,mcw-trades,"=HYPERLINK(""https://www.ebay.com/itm/177055821092?_skw=Favre-Leuba&hash=item2939596d24:g:pTIAAOSw-c9oEh-N"", ""Open eBay"")",https://i.ebayimg.com/images/g/pTIAAOSw-c9oEh-N/s-l225.jpg
Favre-Leuba,EBAY_US,Rare Vintage Favre-Leuba Geneve 2469-43 Stain Stainless Steel & Gold Plated...,227,Unknown,Buy It Now,Pre-owned - Good,UNKNOWN,N/A,None,machomasa11,"=HYPERLINK(""https://www.ebay.com/itm/277620218262?_skw=Favre-Leuba&hash=item40a3745996:g:ygwAAeSw9HVoYCri"", ""Open eBay"")",https://i.ebayimg.com/images/g/ygwAAeSw9HVoYCri/s-l225.jpg
Favre-Leuba,EBAY_US,Vintage 1950s Favre-Leuba Daymatic 21 Jewels Swiss Watch Fixoflex,299,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,queen_natasha_lnc,"=HYPERLINK(""https://www.ebay.com/itm/127897887687?_skw=Favre-Leuba&hash=item1dc74ee3c7:g:RecAAeSwKZVqHc88"", ""Open eBay"")",https://i.ebayimg.com/images/g/RecAAeSwKZVqHc88/s-l225.jpg
Favre-Leuba,EBAY_US,FAVRE-LEUBA Men's Automatic AS 2066 Stainless 38mm Watch Fresh Service,149,Unknown,Buy It Now,Pre-owned - Good,UNKNOWN,N/A,None,vfrrandy,"=HYPERLINK(""https://www.ebay.com/itm/147550516036?_skw=Favre-Leuba&hash=item225ab23344:g:7PIAAeSw5B5qmzp~"", ""Open eBay"")",https://i.ebayimg.com/images/g/7PIAAeSw5B5qmzp~/s-l225.jpg
Favre-Leuba,EBAY_US,FAVRE-LEUBA Shark II Vintage Automatic Watch,680,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,mjshow123,"=HYPERLINK(""https://www.ebay.com/itm/236864630562?_skw=Favre-Leuba&hash=item37263b6f22:g:Ou4AAeSwBP9qJfe4"", ""Open eBay"")",https://i.ebayimg.com/images/g/Ou4AAeSwBP9qJfe4/s-l225.jpg
Favre-Leuba,EBAY_US,"Favre-Leuba Sea King Wristwatch. Vintage, Swiss. For Repair ",60,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,BROKEN/UNTESTED,N/A,None,mhale448,"=HYPERLINK(""https://www.ebay.com/itm/298656266509?_skw=Favre-Leuba&hash=item45894cf90d:g:BlcAAeSw-RxqoBEX"", ""Open eBay"")",https://i.ebayimg.com/images/g/BlcAAeSw-RxqoBEX/s-l225.jpg
Favre-Leuba,EBAY_US,VTG Favre-Leuba Duomatic Automatic Day Date Swiss Men's Watch 75032 Gold Silver,159,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,knoxfinds,"=HYPERLINK(""https://www.ebay.com/itm/327205448623?_skw=Favre-Leuba&hash=item4c2ef6ebaf:g:sjoAAeSwo9pqJ36v"", ""Open eBay"")",https://i.ebayimg.com/images/g/sjoAAeSwo9pqJ36v/s-l225.jpg
Favre-Leuba,EBAY_US,Vintage 1960s Favre-Leuba Genève Squared Swiss Ladies Mechanical Wind Watch Runs,142,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,RUNNING,N/A,None,memnonco,"=HYPERLINK(""https://www.ebay.com/itm/227382074693?_skw=Favre-Leuba&hash=item34f1071d45:g:ql8AAeSwr5pqKXKl"", ""Open eBay"")",https://i.ebayimg.com/images/g/ql8AAeSwr5pqKXKl/s-l225.jpg
Favre-Leuba,EBAY_US,Serviced Favre-Leuba Geneve Dynamic Automatic Wristwatch 10k filled RUNNING ,300,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Excellent,RUNNING,$384,None,watchguy1987,"=HYPERLINK(""https://www.ebay.com/itm/306707331393?_skw=Favre-Leuba&hash=item47692e7941:g:HIUAAeSwQo9pZVB0"", ""Open eBay"")",https://i.ebayimg.com/images/g/HIUAAeSwQo9pZVB0/s-l225.jpg
Favre-Leuba,EBAY_US,"Vintage FAVRE-LEUBA Felsa 695 Display Movement, Never used in an actual watch",275,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,mtolympusclockshop,"=HYPERLINK(""https://www.ebay.com/itm/267293118239?_skw=Favre-Leuba&hash=item3e3be94f1f:g:gykAAOSwHDRoUJr3"", ""Open eBay"")",https://i.ebayimg.com/images/g/gykAAOSwHDRoUJr3/s-l225.jpg
Favre-Leuba,EBAY_US,FAVRE-LEUBA GENEVE VINTAGE STAINLESS STEEL WOMEN WRIST WATCH  - Read Description,100,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Excellent,UNKNOWN,N/A,None,brandolina,"=HYPERLINK(""https://www.ebay.com/itm/117149042246?_skw=Favre-Leuba&hash=item1b46a08646:g:ozgAAOSwpDhmckg3"", ""Open eBay"")",https://i.ebayimg.com/images/g/ozgAAOSwpDhmckg3/s-l225.jpg
Favre-Leuba,EBAY_US,Vintage Favre-Leuba 11033 Quartz Raider Men's Quartz Wristwatch 352 Swiss Steel,475,Unknown,Buy It Now,Pre-owned - Good,UNKNOWN,N/A,None,thewatchpreserve,"=HYPERLINK(""https://www.ebay.com/itm/136489605552?_skw=Favre-Leuba&hash=item1fc76a19b0:g:SncAAeSw~adp6Y6W"", ""Open eBay"")",https://i.ebayimg.com/images/g/SncAAeSw~adp6Y6W/s-l225.jpg
Favre-Leuba,EBAY_US,Vintage 60's FAVRE-LEUBA Geneva Sea King Swiss Made Men's Watch 61093,99,Unknown,Buy It Now,For parts or not working,UNKNOWN,N/A,None,california_flips,"=HYPERLINK(""https://www.ebay.com/itm/298610244518?_skw=Favre-Leuba&hash=item45868ebba6:g:eCsAAeSwwtVqi10Q"", ""Open eBay"")",https://i.ebayimg.com/images/g/eCsAAeSwwtVqi10Q/s-l225.jpg
Favre-Leuba,EBAY_US,Vintage 31mm Favre-Leuba 62103 Geneve Datic Sea King Wristwatch 102 Swiss Steel,130,Unknown,Buy It Now,Pre-owned - Good,UNKNOWN,N/A,None,thepartspreserve,"=HYPERLINK(""https://www.ebay.com/itm/407165298473?_skw=Favre-Leuba&hash=item5eccf16729:g:~LwAAeSw7RNqi3St"", ""Open eBay"")",https://i.ebayimg.com/images/g/~LwAAeSw7RNqi3St/s-l225.jpg
Favre-Leuba,EBAY_US, RARE Vintage- FAVRE-LEUBA- New Morning Watch- Quartz Men's 34 MM,450,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,robertsobhy,"=HYPERLINK(""https://www.ebay.com/itm/266391518943?_skw=Favre-Leuba&hash=item3e062bfedf:g:iyYAAOSwQfFk7V1W"", ""Open eBay"")",https://i.ebayimg.com/images/g/iyYAAOSwQfFk7V1W/s-l225.jpg
Favre-Leuba,EBAY_US,Vintage Favre-Leuba Duomatic Automatic Watch – Swiss Made – Champagne Dial – Day,179,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,mcw-trades,"=HYPERLINK(""https://www.ebay.com/itm/177055821092?_skw=Favre-Leuba&hash=item2939596d24:g:pTIAAOSw-c9oEh-N"", ""Open eBay"")",https://i.ebayimg.com/images/g/pTIAAOSw-c9oEh-N/s-l225.jpg
Favre-Leuba,EBAY_US,Rare Vintage Favre-Leuba Geneve 2469-43 Stain Stainless Steel & Gold Plated...,227,Unknown,Buy It Now,Pre-owned - Good,UNKNOWN,N/A,None,machomasa11,"=HYPERLINK(""https://www.ebay.com/itm/277620218262?_skw=Favre-Leuba&hash=item40a3745996:g:ygwAAeSw9HVoYCri"", ""Open eBay"")",https://i.ebayimg.com/images/g/ygwAAeSw9HVoYCri/s-l225.jpg
Favre-Leuba,EBAY_US,Vintage 1950s Favre-Leuba Daymatic 21 Jewels Swiss Watch Fixoflex,299,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,queen_natasha_lnc,"=HYPERLINK(""https://www.ebay.com/itm/127897887687?_skw=Favre-Leuba&hash=item1dc74ee3c7:g:RecAAeSwKZVqHc88"", ""Open eBay"")",https://i.ebayimg.com/images/g/RecAAeSwKZVqHc88/s-l225.jpg
Favre-Leuba,EBAY_US,FAVRE-LEUBA Men's Automatic AS 2066 Stainless 38mm Watch Fresh Service,149,Unknown,Buy It Now,Pre-owned - Good,UNKNOWN,N/A,None,vfrrandy,"=HYPERLINK(""https://www.ebay.com/itm/147550516036?_skw=Favre-Leuba&hash=item225ab23344:g:7PIAAeSw5B5qmzp~"", ""Open eBay"")",https://i.ebayimg.com/images/g/7PIAAeSw5B5qmzp~/s-l225.jpg
Favre-Leuba,EBAY_US,FAVRE-LEUBA Shark II Vintage Automatic Watch,680,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,mjshow123,"=HYPERLINK(""https://www.ebay.com/itm/236864630562?_skw=Favre-Leuba&hash=item37263b6f22:g:Ou4AAeSwBP9qJfe4"", ""Open eBay"")",https://i.ebayimg.com/images/g/Ou4AAeSwBP9qJfe4/s-l225.jpg
Favre-Leuba,EBAY_US,"Favre-Leuba Sea King Wristwatch. Vintage, Swiss. For Repair ",60,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,BROKEN/UNTESTED,N/A,None,mhale448,"=HYPERLINK(""https://www.ebay.com/itm/298656266509?_skw=Favre-Leuba&hash=item45894cf90d:g:BlcAAeSw-RxqoBEX"", ""Open eBay"")",https://i.ebayimg.com/images/g/BlcAAeSw-RxqoBEX/s-l225.jpg
Favre-Leuba,EBAY_US,VTG Favre-Leuba Duomatic Automatic Day Date Swiss Men's Watch 75032 Gold Silver,159,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,knoxfinds,"=HYPERLINK(""https://www.ebay.com/itm/327205448623?_skw=Favre-Leuba&hash=item4c2ef6ebaf:g:sjoAAeSwo9pqJ36v"", ""Open eBay"")",https://i.ebayimg.com/images/g/sjoAAeSwo9pqJ36v/s-l225.jpg
Favre-Leuba,EBAY_US,Vintage 1960s Favre-Leuba Genève Squared Swiss Ladies Mechanical Wind Watch Runs,142,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,RUNNING,N/A,None,memnonco,"=HYPERLINK(""https://www.ebay.com/itm/227382074693?_skw=Favre-Leuba&hash=item34f1071d45:g:ql8AAeSwr5pqKXKl"", ""Open eBay"")",https://i.ebayimg.com/images/g/ql8AAeSwr5pqKXKl/s-l225.jpg
Mido,EBAY_US,Vintage MCM Watch Face “Mido Multifort” Unisex Swiss Made Stainless Works,337,4 days,"Buy It Now, Bidding",Pre-owned - Fair,UNKNOWN,N/A,None,reader57785,"=HYPERLINK(""https://www.ebay.com/itm/227513921406?_skw=Mido&hash=item34f8e2ef7e:g:yuIAAeSwz-NpzBej"", ""Open eBay"")",https://i.ebayimg.com/images/g/yuIAAeSwz-NpzBej/s-l225.jpg
Mido,EBAY_US,Vintage Mido Multifort Superautomatic Powerwind Stainless steel 1950s Watch,97,6 days,"Buy It Now, Bidding",Pre-owned - Fair,UNKNOWN,N/A,None,gargru1806,"=HYPERLINK(""https://www.ebay.com/itm/318859608822?_skw=Mido&hash=item4a3d8382f6:g:pf4AAeSwZl5qckV-"", ""Open eBay"")",https://i.ebayimg.com/images/g/pf4AAeSwZl5qckV-/s-l225.jpg
Mido,EBAY_US,Mido Belluna Automatic Silver Dial Men's Watch M0014312203192,549,Unknown,Buy It Now,New with box and papers,UNKNOWN,N/A,None,jomashop,"=HYPERLINK(""https://www.ebay.com/itm/188780744070?_skw=Mido&hash=item2bf4358d86:g:JJAAAeSwFplqfUgz"", ""Open eBay"")",https://i.ebayimg.com/images/g/JJAAAeSwFplqfUgz/s-l225.jpg
Mido,EBAY_US,Vintage Mido Multifort Extra Automatic Solid Gold Bezel & Stainless Steel Watch,399,Unknown,Buy It Now,Pre-owned - Good,UNKNOWN,$500,None,luckyloupe,"=HYPERLINK(""https://www.ebay.com/itm/135370611595?_skw=Mido&hash=item1f84b79b8b:g:v7oAAOSwAmFnM2ks"", ""Open eBay"")",https://i.ebayimg.com/images/g/v7oAAOSwAmFnM2ks/s-l225.jpg
Mido,EBAY_US,"Mido Baroncelli 38mm Automatic Watch ""Belltower"" Limited Edition.",360,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Excellent,UNKNOWN,N/A,None,bostonwatchzone,"=HYPERLINK(""https://www.ebay.com/itm/318718726990?_skw=Mido&hash=item4a351dd34e:g:UREAAeSwYVRqfHnA"", ""Open eBay"")",https://i.ebayimg.com/images/g/UREAAeSwYVRqfHnA/s-l225.jpg
Mido,EBAY_US,Mido Multifort Powerwind 00917P Super Automatic Watch,80,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,watches-74,"=HYPERLINK(""https://www.ebay.com/itm/307058545642?_skw=Mido&hash=item477e1d93ea:g:BJAAAOSwFrZk4lnI"", ""Open eBay"")",https://i.ebayimg.com/images/g/BJAAAOSwFrZk4lnI/s-l225.jpg
Mido,EBAY_US,Mido Baroncelli Diamond Stainless Steel Watch M3491.4.69.1,695,Unknown,"Buy It Now, Accepts Offers",New without box or papers,UNKNOWN,N/A,None,veryspecialbrand,"=HYPERLINK(""https://www.ebay.com/itm/402430689364?_skw=Mido&hash=item5db2bd0054:g:R14AAOSwjbpfXOm4"", ""Open eBay"")",https://i.ebayimg.com/images/g/R14AAOSwjbpfXOm4/s-l225.jpg
Mido,EBAY_US,Vintage Men's 15J MIDO MULTIFORT Military WW2 era Steel Watch @1940's-for Repair,84,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,BROKEN/UNTESTED,N/A,None,allhourstuff,"=HYPERLINK(""https://www.ebay.com/itm/127970990472?_skw=Mido&hash=item1dcbaa5988:g:srUAAeSwzZZqUyol"", ""Open eBay"")",https://i.ebayimg.com/images/g/srUAAeSwzZZqUyol/s-l225.jpg
Mido,EBAY_US,Mido Chronograph Touchdown M005.417.37.050.00 Men's Black Watch,572,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Excellent,UNKNOWN,N/A,None,mgclt,"=HYPERLINK(""https://www.ebay.com/itm/187645605644?_skw=Mido&hash=item2bb08cb70c:g:2YEAAeSwKJ5o6-pQ"", ""Open eBay"")",https://i.ebayimg.com/images/g/2YEAAeSwKJ5o6-pQ/s-l225.jpg
Mido,EBAY_US,Vintage MIDO Multifort Extra Super Automatic Stainless Steel Serviced RUNNING!!,395,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,RUNNING,N/A,None,time-n-timeagain,"=HYPERLINK(""https://www.ebay.com/itm/176841889393?_skw=Mido&hash=item292c991671:g:Z9QAAOSwXMtnrP1L"", ""Open eBay"")",https://i.ebayimg.com/images/g/Z9QAAOSwXMtnrP1L/s-l225.jpg
Mido,EBAY_US,For Repair! Vintage Mido Multifort Super Automatic Watch 1950s 60s collectible,169,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,BROKEN/UNTESTED,N/A,None,christen1601,"=HYPERLINK(""https://www.ebay.com/itm/398274336734?_skw=Mido&hash=item5cbb0017de:g:akgAAeSwwaJoucRf"", ""Open eBay"")",https://i.ebayimg.com/images/g/akgAAeSwwaJoucRf/s-l225.jpg
Mido,EBAY_US,VTG! Mido Commander Men’s 42mm Watch Day & Date Automatic Silver Dial Stainless,298,Unknown,Buy It Now,Pre-owned - Good,UNKNOWN,N/A,None,tyopaeng829,"=HYPERLINK(""https://www.ebay.com/itm/137221111921?_skw=Mido&hash=item1ff3040071:g:KxYAAeSwzANp3BYU"", ""Open eBay"")",https://i.ebayimg.com/images/g/KxYAAeSwzANp3BYU/s-l225.jpg
Mido,EBAY_US,Mido Woman’s Watch,99,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,lands_2297,"=HYPERLINK(""https://www.ebay.com/itm/157747169427?_skw=Mido&hash=item24ba76c893:g:3pMAAeSwKYRoAVUf"", ""Open eBay"")",https://i.ebayimg.com/images/g/3pMAAeSwKYRoAVUf/s-l225.jpg
Mido,EBAY_US,Vintage Mido Ocean Star Powerwind Automatic Mens Watch,450,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Excellent,UNKNOWN,N/A,None,katrinaglinberg,"=HYPERLINK(""https://www.ebay.com/itm/366055979180?_skw=Mido&hash=item553aa2f8ac:g:gUMAAeSwj4dpPOhi"", ""Open eBay"")",https://i.ebayimg.com/images/g/gUMAAeSwj4dpPOhi/s-l225.jpg
Mido,EBAY_US,Rare Vintage WW2 MIDO Multifort Super Automatic Sup. Force Mine # 97 Men's Watch,638,Unknown,Buy It Now,Pre-owned - Good,UNKNOWN,N/A,None,mnjewels,"=HYPERLINK(""https://www.ebay.com/itm/297466309774?_skw=Mido&hash=item45425fac8e:g:HDoAAeSwRVRocztg"", ""Open eBay"")",https://i.ebayimg.com/images/g/HDoAAeSwRVRocztg/s-l225.jpg
Mido,EBAY_US,Vintage MIDO Ocean Star Day Date Two Tone Gold Dial Watch Automatic ,249,Unknown,Buy It Now,Pre-owned - Good,UNKNOWN,N/A,None,slzrfinds,"=HYPERLINK(""https://www.ebay.com/itm/227342095490?_skw=Mido&hash=item34eea51482:g:wnoAAeSw9zpqBBsu"", ""Open eBay"")",https://i.ebayimg.com/images/g/wnoAAeSw9zpqBBsu/s-l225.jpg
Mido,EBAY_US,Vintage Mido Multifort Superautomatic Powerwind Stainless Steel Mens Watch Swiss,300,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Fair,UNKNOWN,N/A,None,jandlhook44,"=HYPERLINK(""https://www.ebay.com/itm/227386216548?_skw=Mido&hash=item34f1465064:g:Uk0AAeSw9tRqLPye"", ""Open eBay"")",https://i.ebayimg.com/images/g/Uk0AAeSw9tRqLPye/s-l225.jpg
Mido,EBAY_US,Vintage Mido Multifort Powerwind Super automatic 1950s Watch-Fancy Lugs-Runs,335,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Excellent,RUNNING,N/A,None,zadar_vintage,"=HYPERLINK(""https://www.ebay.com/itm/128024629622?_skw=Mido&hash=item1dcedcd176:g:07EAAeSwUp5qfbig"", ""Open eBay"")",https://i.ebayimg.com/images/g/07EAAeSwUp5qfbig/s-l225.jpg
Mido,EBAY_US,"VINTAGE LADIES MIDO MULTIFORT WRIST WATCH, KEEPING TIME, CAL. 607P, AUTOMATIC",120,Unknown,Buy It Now,Pre-owned - Good,UNKNOWN,N/A,None,diamondhead4,"=HYPERLINK(""https://www.ebay.com/itm/404547592893?_skw=Mido&hash=item5e30ea62bd:g:nWEAAOSw6vZlKWHb"", ""Open eBay"")",https://i.ebayimg.com/images/g/nWEAAOSw6vZlKWHb/s-l225.jpg
Mido,EBAY_US,Mido Men's Belluna 40mm Automatic Watch M0014312203692,609,Unknown,Buy It Now,New with box and papers,UNKNOWN,N/A,None,watchgooroo,"=HYPERLINK(""https://www.ebay.com/itm/334147411404?_skw=Mido&hash=item4dccbcddcc:g:UMUAAeSwevZp-7UE"", ""Open eBay"")",https://i.ebayimg.com/images/g/UMUAAeSwevZp-7UE/s-l225.jpg
Mido,EBAY_US,Mido Ocean Star Datoday Auto Day/Date Vintage 1970s 36mm Gold/White,200,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Fair,UNKNOWN,N/A,None,reject221987,"=HYPERLINK(""https://www.ebay.com/itm/227429982078?_skw=Mido&hash=item34f3e21f7e:g:WqoAAeSwfCxqVV9t"", ""Open eBay"")",https://i.ebayimg.com/images/g/WqoAAeSwfCxqVV9t/s-l225.jpg
Mido,EBAY_US,Mido Multistar Automatic 36x42mm Vintage Watch RUNS BEAUTIFULLY! Rare Seconds ✋,300,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,RUNNING,N/A,None,grimlo,"=HYPERLINK(""https://www.ebay.com/itm/157831817947?_skw=Mido&hash=item24bf826adb:g:ILQAAeSwTpVp3YVc"", ""Open eBay"")",https://i.ebayimg.com/images/g/ILQAAeSwTpVp3YVc/s-l225.jpg
Mido,EBAY_US,Mido Ocean Star Automatic  Men's Watch,525,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,robertsobhy,"=HYPERLINK(""https://www.ebay.com/itm/267638514012?_skw=Mido&hash=item3e507fa15c:g:fpUAAeSwv5dp3acT"", ""Open eBay"")",https://i.ebayimg.com/images/g/fpUAAeSwv5dp3acT/s-l225.jpg
Mido,EBAY_US,Mido Men's Smiling Moon 39mm Automatic Watch M0274071101001,569,Unknown,Buy It Now,New with box and papers,UNKNOWN,N/A,None,watchgooroo,"=HYPERLINK(""https://www.ebay.com/itm/335960724146?_skw=Mido&hash=item4e38d1d2b2:g:iKwAAeSw8iBp-7Xj"", ""Open eBay"")",https://i.ebayimg.com/images/g/iKwAAeSw8iBp-7Xj/s-l225.jpg
Mido,EBAY_US,Vintage Ladies Mido Powerwind Ocean Star Automatic Watch WORKING,84,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,RUNNING,N/A,None,thestoneofman,"=HYPERLINK(""https://www.ebay.com/itm/168458437852?_skw=Mido&hash=item2738e7c4dc:g:BS4AAeSwFi5pvHKZ"", ""Open eBay"")",https://i.ebayimg.com/images/g/BS4AAeSwFi5pvHKZ/s-l225.jpg
Mido,EBAY_US,Mido Commander 1959 Automatic Turquoise Dial Men's Watch M842942511,641,Unknown,Buy It Now,New with box and papers,UNKNOWN,N/A,None,jomashop,"=HYPERLINK(""https://www.ebay.com/itm/188639395943?_skw=Mido&hash=item2bebc8c067:g:oa0AAeSw3h9qhduf"", ""Open eBay"")",https://i.ebayimg.com/images/g/oa0AAeSw3h9qhduf/s-l225.jpg
Mido,EBAY_US,Mido M0374073603101  Silver-tone Dial 39 mm  Watch New,450,Unknown,Buy It Now,New with box and papers,UNKNOWN,N/A,None,thewatchery,"=HYPERLINK(""https://www.ebay.com/itm/366605554375?_skw=Mido&hash=item555b64d2c7:g:XtwAAeSwC5xqlmyg"", ""Open eBay"")",https://i.ebayimg.com/images/g/XtwAAeSwC5xqlmyg/s-l225.jpg
Mido,EBAY_US,Mido Baroncelli Smiling Moon Automatic Blue Dial Men's Watch M0274071104000,678,Unknown,Buy It Now,New with box and papers,UNKNOWN,N/A,None,jomashop,"=HYPERLINK(""https://www.ebay.com/itm/800018874884?_skw=Mido&hash=itemba44d74204:g:X50AAeSwYPFqeAxz"", ""Open eBay"")",https://i.ebayimg.com/images/g/X50AAeSwYPFqeAxz/s-l225.jpg
Mido,EBAY_US,Mido Automatic Men's Watch M038.429.36.061.00,588,Unknown,Buy It Now,New with box and papers,UNKNOWN,N/A,None,jomashop,"=HYPERLINK(""https://www.ebay.com/itm/800018875207?_skw=Mido&hash=itemba44d74347:g:I2sAAeSwZERqh9SR"", ""Open eBay"")",https://i.ebayimg.com/images/g/I2sAAeSwZERqh9SR/s-l225.jpg
Mido,EBAY_US,Vintage Mido Datorette 17Jewels Cal.756C Swiss-Made Ladies Automatic Watch,296,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,jrvintage79,"=HYPERLINK(""https://www.ebay.com/itm/294924827073?_skw=Mido&hash=item44aae3b9c1:g:Rz0AAeSwbVhoy1a3"", ""Open eBay"")",https://i.ebayimg.com/images/g/Rz0AAeSwbVhoy1a3/s-l225.jpg
Mido,EBAY_US,Vintage 60’s Mido Ocean Star Power Wind Automatic Watch Women’s 19mm Working,114,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,RUNNING,N/A,None,mantis635,"=HYPERLINK(""https://www.ebay.com/itm/227174280939?_skw=Mido&hash=item34e4a46eeb:g:Y80AAeSwlIRpZ-tv"", ""Open eBay"")",https://i.ebayimg.com/images/g/Y80AAeSwlIRpZ-tv/s-l225.jpg
Mido,EBAY_US,Vintage MIDO Multifort Automatic Watch. 17 Jewels 816 Military SWISS 1941,150,Unknown,Buy It Now,Pre-owned - Good,UNKNOWN,N/A,None,bambu,"=HYPERLINK(""https://www.ebay.com/itm/145366784731?_skw=Mido&hash=item21d8891adb:g:K1QAAOSwARFlH23U"", ""Open eBay"")",https://i.ebayimg.com/images/g/K1QAAOSwARFlH23U/s-l225.jpg
Mido,EBAY_US,Mido Baroncelli Signature Automatic Watch Stainless Steel M037.207.11.031.01,399,Unknown,"Buy It Now, Accepts Offers",New with box and papers,UNKNOWN,N/A,None,digand-16,"=HYPERLINK(""https://www.ebay.com/itm/168082608107?_skw=Mido&hash=item2722810feb:g:kjEAAeSw9-1pZ~PU"", ""Open eBay"")",https://i.ebayimg.com/images/g/kjEAAeSw9-1pZ~PU/s-l225.jpg
Mido,EBAY_US,Vintage Mido Multifort Super-Automatic Watch Rare Blue “Sunset” Dial Runs 33mm,210,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,RUNNING,N/A,None,jim_morrison1969,"=HYPERLINK(""https://www.ebay.com/itm/168614015817?_skw=Mido&hash=item27422db349:g:p9IAAeSwpwZqbMLY"", ""Open eBay"")",https://i.ebayimg.com/images/g/p9IAAeSwpwZqbMLY/s-l225.jpg
Mido,EBAY_US,Mido Vintage Mens Watch  Multifort Power Wind Gold Plated Automatic Runs -15,475,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,RUNNING,N/A,None,truetick,"=HYPERLINK(""https://www.ebay.com/itm/396469665803?_skw=Mido&hash=item5c4f6f000b:g:LTwAAeSwK4Rn~WXO"", ""Open eBay"")",https://i.ebayimg.com/images/g/LTwAAeSwK4Rn~WXO/s-l225.jpg
Mido,EBAY_US,Mido Commander Chronometer 40mm Black Dial Men's Watch,519,Unknown,Buy It Now,Pre-owned - Excellent,UNKNOWN,N/A,None,ilikewatches45,"=HYPERLINK(""https://www.ebay.com/itm/128026894258?_skw=Mido&hash=item1dceff5fb2:g:GNwAAeSw9AZqMzw8"", ""Open eBay"")",https://i.ebayimg.com/images/g/GNwAAeSw9AZqMzw8/s-l225.jpg
Mido,EBAY_US,Vintage Mido Ocean Star Powerwind Automatic Men's Watch Gold Tone Swiss Made,179,Unknown,Buy It Now,Pre-owned - Good,UNKNOWN,N/A,None,falkonwatchworks,"=HYPERLINK(""https://www.ebay.com/itm/128026917646?_skw=Mido&hash=item1dceffbb0e:g:nAMAAeSwyRFqf3dR"", ""Open eBay"")",https://i.ebayimg.com/images/g/nAMAAeSwyRFqf3dR/s-l225.jpg
