Query,Region,Title,Price (USD),Time Left,Buying Options,Condition,Health,Scrap Value,Off-Market Contacts,Seller,Link,Image
Blancpain,EBAY_US,AUTHENTIC Blancpain Scuba Fifty Fathoms Wristwatch- Pacific Ocean Yellow,350,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,thomcruize,"=HYPERLINK(""https://www.ebay.com/itm/168453097058?_skw=Blancpain&hash=item2738964662:g:PlQAAeSwXQNqLB4M"", ""Open eBay"")",https://i.ebayimg.com/images/g/PlQAAeSwXQNqLB4M/s-l225.jpg
Blancpain,EBAY_US,Blancpain LeCoultre 19.5k White Gold Diamond Ladies Vintage Watch Needs Repair,595,Unknown,Buy It Now,For parts or not working,BROKEN/UNTESTED,N/A,None,madhader85,"=HYPERLINK(""https://www.ebay.com/itm/236529394692?_skw=Blancpain&hash=item3712402404:g:WNcAAeSwsoNpQZjy"", ""Open eBay"")",https://i.ebayimg.com/images/g/WNcAAeSwsoNpQZjy/s-l225.jpg
Blancpain,EBAY_US,BlancPainxSwatch SCUBA FIFTY FATHOMS ATLANTIC OCEAN Blue W10,660,Unknown,"Buy It Now, Accepts Offers",New with box and papers,UNKNOWN,N/A,None,retailtherapy501,"=HYPERLINK(""https://www.ebay.com/itm/176634659451?_skw=Blancpain&hash=item29203f027b:g:iZUAAOSwJkZl6LQH"", ""Open eBay"")",https://i.ebayimg.com/images/g/iZUAAOSwJkZl6LQH/s-l225.jpg
Blancpain,EBAY_US,A. LeCoultre E. Blancpain Fils Antique Art Deco Gold Filled Mechanical Watch,499,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,xervad,"=HYPERLINK(""https://www.ebay.com/itm/317779354131?_skw=Blancpain&hash=item49fd202213:g:KiQAAeSw-E9pbkim"", ""Open eBay"")",https://i.ebayimg.com/images/g/KiQAAeSw-E9pbkim/s-l225.jpg
Blancpain,EBAY_US,Vintage Blancpain Ladies 14k Yellow Gold Diamond Watch,699,Unknown,Buy It Now,Pre-owned - Good,UNKNOWN,$552,None,us2014.ediss,"=HYPERLINK(""https://www.ebay.com/itm/325742866307?_skw=Blancpain&hash=item4bd7c9af83:g:Gz0AAOSwxphkvdql"", ""Open eBay"")",https://i.ebayimg.com/images/g/Gz0AAOSwxphkvdql/s-l225.jpg
Blancpain,EBAY_US,"Blancpain Fifty Fathoms ""Scuba Fifty"" Atlantic Ocean Blue Dragon Edition",695,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,motionintime_ny,"=HYPERLINK(""https://www.ebay.com/itm/196327343574?_skw=Blancpain&hash=item2db60585d6:g:Xb4AAOSw415mDYHy"", ""Open eBay"")",https://i.ebayimg.com/images/g/Xb4AAOSw415mDYHy/s-l225.jpg
Jaeger-LeCoultre,EBAY_US,LECOULTRE MEMOVOX ALARM ORIGINAL BLUE COLOR 29.7MM #561,120,Unknown,Buy It Now,Pre-owned - Good,UNKNOWN,N/A,None,watch111,"=HYPERLINK(""https://www.ebay.com/itm/389376729903?_skw=Jaeger-LeCoultre&hash=item5aa8a9632f:g:3HEAAeSwkR5pQOFT"", ""Open eBay"")",https://i.ebayimg.com/images/g/3HEAAeSwkR5pQOFT/s-l225.jpg
Jaeger-LeCoultre,EBAY_US,VINTAGE LECOULTRE FUTUREMATIC 497 TIME SETTING WHEEL,99,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,lucia_57,"=HYPERLINK(""https://www.ebay.com/itm/174612138301?_skw=Jaeger-LeCoultre&hash=item28a7b1c93d:g:OfwAAOSwotRiPymG"", ""Open eBay"")",https://i.ebayimg.com/images/g/OfwAAOSwotRiPymG/s-l225.jpg
Jaeger-LeCoultre,EBAY_US,Jaeger-LeCoultre Club Men's Vintage Auto Diver Watch Blue 42mm | NEEDS REPAIR,390,Unknown,"Buy It Now, Accepts Offers",For parts or not working,BROKEN/UNTESTED,N/A,None,thejnubs,"=HYPERLINK(""https://www.ebay.com/itm/800578478678?_skw=Jaeger-LeCoultre&hash=itemba66322256:g:mloAAeSw2HNqkhEG"", ""Open eBay"")",https://i.ebayimg.com/images/g/mloAAeSw2HNqkhEG/s-l225.jpg
Jaeger-LeCoultre,EBAY_US,Vintage Jaeger LeCoultre MEMOVOX Alarm Watch Incomplete Cover,260,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,jackie.mx3,"=HYPERLINK(""https://www.ebay.com/itm/156940185067?_skw=Jaeger-LeCoultre&hash=item248a5d2deb:g:LkIAAeSwm1VoETAA"", ""Open eBay"")",https://i.ebayimg.com/images/g/LkIAAeSwm1VoETAA/s-l225.jpg
Rolex,EBAY_US,Genuine Rolex Datejust 26mm Champagne Gold Sticks Hour Marks 69173 179173,150,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,bezelsunltd,"=HYPERLINK(""https://www.ebay.com/itm/315950730376?_skw=Rolex&hash=item4990218c88:g:h-UAAOSwDpBnM45r"", ""Open eBay"")",https://i.ebayimg.com/images/g/h-UAAOSwDpBnM45r/s-l225.jpg
Rolex,EBAY_US,Genuine Rolex Datejust 26mm Champagne Gold Sticks Hour Marks 69173 179173,150,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,bezelsunltd,"=HYPERLINK(""https://www.ebay.com/itm/315950732403?_skw=Rolex&hash=item4990219473:g:v6AAAOSwbBxnM46U"", ""Open eBay"")",https://i.ebayimg.com/images/g/v6AAAOSwbBxnM46U/s-l225.jpg
Rolex,EBAY_US,Genuine Rolex Datejust 26mm Champagne w/ Gold Sticks 69173 179173,150,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,bezelsunltd,"=HYPERLINK(""https://www.ebay.com/itm/315950738234?_skw=Rolex&hash=item499021ab3a:g:sCkAAOSwzoFnM48A"", ""Open eBay"")",https://i.ebayimg.com/images/g/sCkAAOSwzoFnM48A/s-l225.jpg
Rolex,EBAY_US,Genuine Rolex Datejust 26mm Champagne Gold Sticks Hour Marks 69173 179173,150,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,bezelsunltd,"=HYPERLINK(""https://www.ebay.com/itm/315950742282?_skw=Rolex&hash=item499021bb0a:g:e~gAAOSwQL9nM45O"", ""Open eBay"")",https://i.ebayimg.com/images/g/e~gAAOSwQL9nM45O/s-l225.jpg
Rolex,EBAY_US,Genuine Rolex Datejust 26mm Champagne Gold Sticks Hour Marks 69173 179173,150,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,bezelsunltd,"=HYPERLINK(""https://www.ebay.com/itm/315950764483?_skw=Rolex&hash=item49902211c3:g:YDsAAOSwUxZnM5Al"", ""Open eBay"")",https://i.ebayimg.com/images/g/YDsAAOSwUxZnM5Al/s-l225.jpg
Rolex,EBAY_US,Genuine Rolex Datejust 26mm Champagne Gold Sticks Hour Marks 69173 179173,150,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,bezelsunltd,"=HYPERLINK(""https://www.ebay.com/itm/315950771591?_skw=Rolex&hash=item4990222d87:g:q-YAAOSwOz9nM5BZ"", ""Open eBay"")",https://i.ebayimg.com/images/g/q-YAAOSwOz9nM5BZ/s-l225.jpg
Rolex,EBAY_US,Genuine Rolex Datejust 26mm Champagne Gold Sticks Hour Marks 69173 179173,150,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,bezelsunltd,"=HYPERLINK(""https://www.ebay.com/itm/315950780378?_skw=Rolex&hash=item4990224fda:g:79oAAOSw25tnM5DA"", ""Open eBay"")",https://i.ebayimg.com/images/g/79oAAOSw25tnM5DA/s-l225.jpg
Rolex,EBAY_US,Genuine Rolex Datejust 26mm Champagne Gold Sticks Hour Marks 69173 179173,150,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,bezelsunltd,"=HYPERLINK(""https://www.ebay.com/itm/315950785483?_skw=Rolex&hash=item49902263cb:g:HtMAAOSwGudnM5Dm"", ""Open eBay"")",https://i.ebayimg.com/images/g/HtMAAOSwGudnM5Dm/s-l225.jpg
Rolex,EBAY_US,Genuine Rolex Datejust 26mm Champagne Gold Sticks Hour Marks 69173 179173,150,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,bezelsunltd,"=HYPERLINK(""https://www.ebay.com/itm/315950794921?_skw=Rolex&hash=item49902288a9:g:uxcAAOSwWAxnM5F~"", ""Open eBay"")",https://i.ebayimg.com/images/g/uxcAAOSwWAxnM5F~/s-l225.jpg
Rolex,EBAY_US,Genuine Rolex Datejust 26mm Champagne Gold Sticks Hour Marks 69173 179173,150,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,bezelsunltd,"=HYPERLINK(""https://www.ebay.com/itm/315950795870?_skw=Rolex&hash=item4990228c5e:g:SrMAAOSwHHlnM5Go"", ""Open eBay"")",https://i.ebayimg.com/images/g/SrMAAOSwHHlnM5Go/s-l225.jpg
Rolex,EBAY_US,Vintage Rolex Baseball Ad (Trenton Thunder) - Professionally Framed (11x14),299,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,serafino_time,"=HYPERLINK(""https://www.ebay.com/itm/358108760006?_skw=Rolex&hash=item5360f207c6:g:xOgAAeSw1fRpZTXC"", ""Open eBay"")",https://i.ebayimg.com/images/g/xOgAAeSw1fRpZTXC/s-l225.jpg
